contract_type,context,4o_mini_success_count,4o_mini_erc1155_success_count,4o_mini_erc20_success_count,4o_mini_erc20_1155_success_count,4o_mini_erc20_721_success_count,4o_mini_erc20_721_1155_success_count,4o_mini_erc721_success_count,4o_mini_erc721_1155_success_count,4o_mini_success_rate,4o_mini_erc1155_success_rate,4o_mini_erc20_success_rate,4o_mini_erc20_1155_success_rate,4o_mini_erc20_721_success_rate,4o_mini_erc20_721_1155_success_rate,4o_mini_erc721_success_rate,4o_mini_erc721_1155_success_rate,4o_mini_total_runs,4o_mini_erc1155_total_runs,4o_mini_erc20_total_runs,4o_mini_erc20_1155_total_runs,4o_mini_erc20_721_total_runs,4o_mini_erc20_721_1155_total_runs,4o_mini_erc721_total_runs,4o_mini_erc721_1155_total_runs
erc1155,erc1155,5.0,10.0,5.0,8.0,5.0,10.0,0.0,10.0,0.5,1.0,0.5,0.8,0.5,1.0,0.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,erc20,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,"erc20,erc1155",7.0,10.0,10.0,9.0,7.0,9.0,0.0,10.0,0.7,1.0,1.0,0.9,0.7,0.9,0.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,"erc20,erc721",0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,"erc20,erc721,erc1155",6.0,10.0,10.0,9.0,7.0,10.0,0.0,10.0,0.6,1.0,1.0,0.9,0.7,1.0,0.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,erc721,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,"erc721,erc1155",4.0,9.0,9.0,9.0,6.0,10.0,0.0,10.0,0.4,0.9,0.9,0.9,0.6,1.0,0.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc1155,none,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,erc1155,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
erc20,erc20,10.0,0.0,3.0,9.0,10.0,10.0,0.0,5.0,1.0,0.0,0.3,0.9,1.0,1.0,0.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,"erc20,erc1155",10.0,0.0,3.0,9.0,10.0,10.0,0.0,8.0,1.0,0.0,0.3,0.9,1.0,1.0,0.0,0.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,"erc20,erc721",10.0,0.0,1.0,9.0,10.0,10.0,0.0,6.0,1.0,0.0,0.1,0.9,1.0,1.0,0.0,0.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,"erc20,erc721,erc1155",9.0,1.0,0.0,8.0,9.0,10.0,0.0,8.0,0.9,0.1,0.0,0.8,0.9,1.0,0.0,0.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,erc721,8.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,0.8,0.0,0.0,0.1,0.8,0.8,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,"erc721,erc1155",5.0,0.0,0.0,0.0,5.0,4.0,0.0,3.0,0.5,0.0,0.0,0.0,0.5,0.4,0.0,0.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc20,none,1.0,1.0,0.0,3.0,1.0,5.0,0.0,2.0,0.1,0.1,0.0,0.3,0.1,0.5,0.0,0.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,erc1155,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,erc20,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.7,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,"erc20,erc1155",0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,"erc20,erc721",6.0,3.0,5.0,10.0,6.0,10.0,10.0,10.0,0.6,0.3,0.5,1.0,0.6,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,"erc20,erc721,erc1155",9.0,3.0,0.0,10.0,9.0,10.0,10.0,10.0,0.9,0.3,0.0,1.0,0.9,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,erc721,1.0,7.0,10.0,10.0,1.0,10.0,10.0,10.0,0.1,0.7,1.0,1.0,0.1,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,"erc721,erc1155",6.0,7.0,10.0,9.0,6.0,10.0,10.0,9.0,0.6,0.7,1.0,0.9,0.6,1.0,1.0,0.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
erc721,none,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.3,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
